HH|DECILE|ZONE_NBR|HOH_AGE|HH_INCOME|HH_SIZE|HH_ADULTS|HH_CHILDREN
92737|1|1|34|10000|1|1|0
328166|1|1|51|10000|||
449182|1|1|63|10000|2|1|1
919955|1|1|42|10000|1|1|0
963398|1|1|31|10000|3|3|0
1872521|1|1|80|10000|2|1|1
2348350|1|1|57|10000|1|1|0
2419264|1|1|68|10000|||
4071249|1|1|35|10000|5|5|0
4575958|1|1|49|10000|4|3|1
4824582|1|1|47|10000|1|1|0
5836571|1|1|43|10000|2|2|0
5893214|1|1|68|10000|5|4|1
7755655|1|1|74|10000|1|1|0
7803751|1|1|42|10000|2|1|1
8429094|1|1|41|10000|3|2|1
9012436|1|1|35|10000|2|1|1
9372635|1|1|37|10000|3|2|1
1448538|1|1|78|17500|2|2|0
3272947|1|1|34|17500|1|1|0
4134787|1|1|28|17500|4|3|1
4241038|1|1|38|17500|1|1|0
4244553|1|1|38|17500|5|3|2
5422693|1|1|50|17500|1|1|0
5591074|1|1|61|17500|6|2|4
7319921|1|1|53|17500|3|2|1
8039201|1|1|32|17500|2|1|1
13645317|1|1|34|17500|1|1|0
52308|1|1|59|25000|||
900762|1|1|65|25000|2|2|0
968460|1|1|62|25000|2|2|0
985117|1|1|58|25000|||
1017192|1|1|80|25000|2|2|0
1098762|1|1|81|25000|3|2|1
1873105|1|1|74|25000|4|4|0
1976305|1|1|44|25000|3|2|1
2002748|1|1|71|25000|4|4|0
2094000|1|1|73|25000|1|1|0
2252718|1|1|30|25000|2|2|1
2344681|1|1|30|25000|5|4|1
2402004|1|1|72|25000|3|2|1
2532614|1|1|35|25000|6|5|1
2945109|1|1|30|25000|2|2|0
2980772|1|1|34|25000|2|1|1
3116761|1|1|33|25000|2|1|1
3842876|1|1|32|25000|4|3|1
3960161|1|1|31|25000|2|1|1
4022985|1|1|65|25000|5|3|2
4030357|1|1|76|25000|1|1|0
4046282|1|1|45|25000|4|3|1
4159367|1|1|60|25000|6|4|3
4205376|1|1|60|25000|3|3|0
4231225|1|1|22|25000|6|6|0
4559166|1|1|54|25000|5|3|2
4616015|1|1|54|25000|4|4|0
4633210|1|1|82|25000|2|2|0
5265980|1|1|48|25000|5|4|1
5297469|1|1|71|25000|2|2|0
5333144|1|1|56|25000|2|2|0
5440740|1|1|58|25000|6|4|2
5568814|1|1|71|25000|3|3|0
5740941|1|1|80|25000|5|4|1
5748184|1|1|74|25000|3|3|0
5771918|1|1|61|25000|2|2|0
5778305|1|1|61|25000|3|1|2
5840117|1|1|59|25000|1|1|0
5854382|1|1|59|25000|3|3|0
5885089|1|1|81|25000|4|4|0
6805574|1|1|54|25000|3|2|1
7058346|1|1|30|25000|1|1|0
7149300|1|1|39|25000|3|2|1
7149665|1|1|42|25000|4|4|1
7156561|1|1|56|25000|3|3|0
7297450|1|1|32|25000|3|2|1
7338579|1|1|75|25000|2|2|0
7396566|1|1|53|25000|4|3|1
7685307|1|1|44|25000|6|4|2
8216768|1|1|58|25000|8|5|3
9026139|1|1|68|25000|3|2|1
9547977|1|1|35|25000|1|1|0
9926229|1|1|66|25000|7|6|1
12528695|1|1|87|25000|2|2|0
173302|1|1|31|35000|2|1|1
307239|1|1|40|35000|4|3|1
318832|1|1|76|35000|7|6|1
411126|1|1|65|35000|2|1|1
501146|1|1|77|35000|3|3|0
576388|1|1|37|35000|7|6|1
624463|1|1|37|35000|1|1|0
642171|1|1|67|35000|1|1|0
687871|1|1|64|35000|1|1|0
753600|1|1|29|35000|3|2|1
911735|1|1|71|35000|4|4|0
1014916|1|1|70|35000|5|5|0
1015755|1|1|85|35000|2|2|0
1028060|1|1|65|35000|2|1|1
1072834|1|1|64|35000|6|5|1
1526935|1|1|33|35000|3|2|1
1608383|1|1|46|35000|2|2|0
1713224|1|1|83|35000|3|3|0
1802615|1|1|75|35000|3|3|0
1866654|1|1|50|35000|4|4|1
1872480|1|1|55|35000|3|2|1
1930670|1|1|60|35000|7|6|1
2003996|1|1|76|35000|3|3|0
2030956|1|1|73|35000|2|2|0
2057842|1|1|55|35000|8|5|3
2286945|1|1|66|35000|1|1|0
2419176|1|1|60|35000|3|3|0
2678427|1|1|53|35000|4|3|1
2680051|1|1|33|35000|3|2|1
3292969|1|1|41|35000|2|2|0
3500106|1|1|36|35000|3|2|1
3588828|1|1|23|35000|4|4|0
3868951|1|1|82|35000|2|2|0
3899635|1|1|34|35000|3|2|1
4046547|1|1|80|35000|2|2|0
4083303|1|1|78|35000|2|1|1
4095012|1|1|54|35000|4|3|1
4114558|1|1|81|35000|4|3|1
4493107|1|1|61|35000|4|4|0
4859377|1|1|60|35000|2|2|0
5234311|1|1|45|35000|3|3|0
5247872|1|1|47|35000|5|5|0
5250157|1|1|58|35000|2|2|0
5348714|1|1|71|35000|3|2|1
5410344|1|1|48|35000|7|5|2
5417494|1|1|53|35000|3|2|1
5489667|1|1|66|35000|2|2|0
5526477|1|1|60|35000|||
5740500|1|1|55|35000|2|2|0
5745551|1|1|81|35000|1|1|0
5747706|1|1|51|35000|6|4|2
5761484|1|1|77|35000|2|1|1
5795305|1|1|43|35000|5|4|1
5818367|1|1|44|35000|6|4|2
5836242|1|1|65|35000|2|2|0
5861921|1|1|65|35000|1|1|0
5886365|1|1|57|35000|3|2|1
5899246|1|1|70|35000|3|3|0
5953983|1|1|37|35000|1|1|0
5995646|1|1|36|35000|4|3|1
6142269|1|1|70|35000|5|4|1
6158779|1|1|64|35000|2|2|0
6174456|1|1|57|35000|2|1|1
6220678|1|1|86|35000|2|2|0
6249124|1|1|28|35000|1|1|0
6510766|1|1|38|35000|2|2|0
6596249|1|1|35|35000|2|1|1
6599119|1|1|65|35000|3|3|0
6642270|1|1|60|35000|3|3|0
6650167|1|1|68|35000|5|4|1
6740877|1|1|29|35000|7|6|1
6808876|1|1|44|35000|2|2|0
6855093|1|1|58|35000|5|3|2
6874709|1|1|39|35000|5|2|3
6922086|1|1|36|35000|4|2|2
7352723|1|1|83|35000|2|2|0
7373204|1|1|30|35000|6|6|0
7634087|1|1|66|35000|3|2|1
7698708|1|1|74|35000|1|1|0
7898102|1|1|35|35000|2|1|1
8116818|1|1|34|35000|3|2|1
8251237|1|1|64|35000|||
8633401|1|1|38|35000|3|2|1
8679972|1|1|42|35000|3|2|1
8684777|1|1|38|35000|2|2|0
8686016|1|1|38|35000|2|2|0
9214822|1|1|35|35000|3|2|1
9457723|1|1|37|35000|5|4|2
9515380|1|1|58|35000|2|2|0
9602004|1|1|85|35000|2|2|0
9619464|1|1|38|35000|3|2|1
9806809|1|1|37|35000|3|3|0
9963185|1|1|68|35000|5|4|1
12879527|1|1|30|35000|2|1|1
12936281|1|1|28|35000|||
14054303|1|1|60|35000|2|2|0
142061|1|1|27|45000|1|1|0
177097|1|1|26|45000|8|6|2
212429|1|1|29|45000|4|4|0
243665|1|1|38|45000|3|2|1
301403|1|1|68|45000|5|3|2
398205|1|1|55|45000|2|2|0
412120|1|1|29|45000|5|4|1
488799|1|1|42|45000|4|3|1
489035|1|1|65|45000|5|5|0
510935|1|1|82|45000|2|2|0
528068|1|1|61|45000|2|1|1
587540|1|1|63|45000|1|1|0
591617|1|1|54|45000|4|4|0
733866|1|1|27|45000|4|3|1
873263|1|1|31|45000|1|1|0
901464|1|1|75|45000|3|2|1
918709|1|1|70|45000|2|2|0
936652|1|1|44|45000|4|2|2
945735|1|1|39|45000|1|1|0
947034|1|1|56|45000|1|1|0
959395|1|1|57|45000|4|4|0
1019026|1|1|54|45000|||
1146912|1|1|59|45000|6|4|2
1165989|1|1|41|45000|1|1|0
1201351|1|1|80|45000|2|2|0
1235048|1|1|75|45000|3|3|0
1269669|1|1|76|45000|2|2|0
1377648|1|1|46|45000|8|6|2
1391737|1|1|64|45000|3|2|1
1509309|1|1|44|45000|3|2|1
1609342|1|1|71|45000|||
1666081|1|1|34|45000|1|1|0
1848750|1|1|34|45000|2|2|0
1861556|1|1|88|45000|2|2|0
1915120|1|1|31|45000|7|4|3
1930166|1|1|48|45000|3|3|0
1976066|1|1|71|45000|3|2|1
